llave_plan_estudios,llave_facultad,llave_estudiante,estatus_estudiante,creditos,fecha_titulacion
21,8,0,Titulado,290,2026-09-21
22,8,1,Titulado,290,2023-08-03
2,1,2,Cursando,59,
24,10,3,Baja,32,
22,8,4,Cursando,282,
30,11,5,Titulado,319,2026-08-03
1,1,6,Baja,208,
22,8,7,Cursando,16,
25,10,8,Cursando,43,
25,10,9,Titulado,290,2024-08-03
29,10,10,Cursando,89,
24,10,11,Titulado,290,2023-08-03
24,10,12,Créditos completos,290,2017-08-03
22,8,13,Créditos completos,290,2015-08-04
28,10,14,Créditos completos,319,2025-09-21
11,3,15,Cursando,83,
32,14,16,Cursando,153,
18,6,17,Cursando,265,
1,1,18,Baja,12,
24,10,19,Créditos completos,290,2024-09-21
25,10,20,Cursando,77,
25,10,21,Cursando,207,
17,6,22,Cursando,129,
15,5,23,Cursando,7,
23,9,24,Titulado,290,2021-08-05
6,3,25,Créditos completos,250,2025-08-03
3,1,26,Titulado,250,2020-08-05
31,11,27,Titulado,319,2015-08-06
21,8,28,Titulado,290,2016-08-04
7,3,29,Cursando,68,
35,13,30,Titulado,200,2017-08-03
29,10,31,Créditos completos,319,2024-08-03
21,8,32,Titulado,290,2015-08-04
3,1,33,Créditos completos,250,2014-08-06
7,3,34,Titulado,330,2019-08-07
2,1,35,Cursando,140,
35,13,36,Cursando,42,
10,3,37,Cursando,151,
9,3,38,Titulado,330,2015-08-04
5,2,39,Créditos completos,250,2020-08-08
9,3,40,Créditos completos,330,2026-09-21
6,3,41,Créditos completos,250,2022-08-04
14,5,42,Titulado,275,2014-08-06
20,7,43,Cursando,248,
21,8,44,Titulado,290,2023-08-03
12,4,45,Créditos completos,330,2020-08-05
6,3,46,Baja,76,
8,3,47,Cursando,1,
22,8,48,Cursando,58,
28,10,49,Cursando,180,
31,11,50,Baja,224,
7,3,51,Créditos completos,330,2015-08-04
18,6,52,Titulado,275,2023-08-04
18,6,53,Créditos completos,275,2023-08-03
30,11,54,Titulado,319,2019-08-08
2,1,55,Titulado,250,2018-08-08
15,5,56,Cursando,238,
31,11,57,Cursando,246,
31,11,58,Cursando,96,
27,10,59,Créditos completos,290,2020-08-05
8,3,60,Créditos completos,330,2019-08-05
2,1,61,Créditos completos,250,2018-08-07
4,2,62,Cursando,223,
30,11,63,Titulado,319,2018-08-03
16,6,64,Cursando,146,
14,5,65,Cursando,67,
14,5,66,Titulado,275,2017-08-07
11,3,67,Cursando,185,
6,3,68,Cursando,122,
5,2,69,Cursando,44,
29,10,70,Cursando,142,
19,6,71,Cursando,213,
3,1,72,Cursando,182,
12,4,73,Titulado,330,2017-08-07
4,2,74,Créditos completos,250,2016-08-04
3,1,75,Titulado,250,2024-09-21
30,11,76,Créditos completos,319,2024-08-03
3,1,77,Cursando,69,
16,6,78,Titulado,275,2022-08-04
10,3,79,Titulado,330,2015-08-04
25,10,80,Titulado,290,2015-08-06
35,13,81,Cursando,198,
13,4,82,Cursando,203,
33,12,83,Cursando,127,
29,10,84,Titulado,319,2024-08-03
35,13,85,Cursando,119,
30,11,86,Titulado,319,2017-08-04
25,10,87,Cursando,232,
9,3,88,Cursando,282,
30,11,89,Cursando,271,
28,10,90,Cursando,17,
15,5,91,Titulado,275,2015-08-04
12,4,92,Cursando,44,
1,1,93,Cursando,18,
5,2,94,Titulado,250,2018-08-08
9,3,95,Cursando,141,
3,1,96,Créditos completos,250,2023-08-03
21,8,97,Titulado,290,2017-08-07
32,14,98,Cursando,171,
32,14,99,Titulado,319,2021-08-03
4,2,100,Titulado,250,2016-08-07
20,7,101,Créditos completos,290,2019-08-05
19,6,102,Cursando,92,
3,1,103,Titulado,250,2015-08-06
33,12,104,Cursando,23,
22,8,105,Titulado,290,2019-08-05
15,5,106,Titulado,275,2022-08-03
18,6,107,Créditos completos,275,2024-09-21
20,7,108,Titulado,290,2026-09-21
11,3,109,Créditos completos,330,2026-09-21
8,3,110,Titulado,330,2017-08-03
4,2,111,Cursando,207,
2,1,112,Cursando,218,
14,5,113,Cursando,128,
28,10,114,Cursando,266,
22,8,115,Créditos completos,290,2022-08-03
2,1,116,Titulado,250,2023-08-03
5,2,117,Titulado,250,2015-08-04
30,11,118,Cursando,302,
13,4,119,Cursando,117,
14,5,120,Titulado,275,2014-08-06
6,3,121,Cursando,137,
5,2,122,Créditos completos,250,2019-08-05
15,5,123,Créditos completos,275,2023-08-03
27,10,124,Titulado,290,2019-08-08
31,11,125,Créditos completos,319,2021-08-03
28,10,126,Titulado,319,2023-08-03
18,6,127,Cursando,8,
15,5,128,Cursando,36,
17,6,129,Créditos completos,275,2020-08-03
27,10,130,Cursando,219,
14,5,131,Titulado,275,2027-09-21
33,12,132,Titulado,319,2015-08-06
19,6,133,Cursando,183,
